1,6,М,МЕТР
2,55,М2,КВАДРАТНЫЙ МЕТР
3,111,СМ3,КУБИЧЕСКИЙ САНТИМЕТР
4,112,Л,ЛИТР
5,113,М3,КУБИЧЕСКИЙ МЕТР
6,114,ТЫСЯЧА М3,ТЫСЯЧА МЕТР КУБ
7,130,ТЫСЯЧА Л,ТЫСЯЧА ЛИТРОВ
8,162,КАР,МЕТРИЧЕСКИЙ КАРАТ(1КАРАТ=2*10(-4)КГ
9,163,Г,ГРАММ
10,166,КГ,КИЛОГРАММ
11,168,Т,ТОННА
12,181,БРТ,"БРУТТО-РЕГИСТРОВАЯ ТОННА(2,8316 М3)"
13,185,Т ГРП,ГРУЗОПОДЪЕМНОСТЬ В ТОННАХ
14,246,1000 КВТ*Ч,1000 КИЛОВАТТ-ЧАС
15,305,КИ,КЮРИ
16,306,Г Д/И,ГРАММ ДЕЛЯЩИХСЯ ИЗОТОПОВ
17,715,ПАР,ПАРА
18,796,ШТ,КОЛИЧЕСТВО ШТУК
19,797,100 ШТ,СТО ШТУК
20,798,1000 ШТ,ТЫСЯЧА ШТУК
21,831,Л 100% СПИРТА,ЛИТР ЧИСТОГО (100%) СПИРТА
22,841,КГ H2O2,КИЛОГРАММ ПЕРОКСИДА ВОДОРОДА
23,845,КГ 90% С/В,КИЛОГРАММ 90%-ГО СУХОГО ВЕЩЕСТВА
24,852,КГ K2O,КИЛОГРАММ ОКСИДА КАЛИЯ
25,859,КГ KOH,КИЛОГРАММ ГИДРОКСИДА КАЛИЯ
26,861,КГ N,КИЛОГРАММ АЗОТА
27,863,КГ NAOH,КИЛОГРАММ ГИДРОКСИДА НАТРИЯ
28,865,КГ P2O5,КИЛОГРАММ ПЯТИОКИСИ ФОСФОРА
29,867,КГ U,КИЛОГРАММ УРАНА
